source,date,text,compound,positive,negative,neutral,ind
BBC,Thu Aug 30 13:00:06 +0000 2018,"Electric shock collars for cats and dogs will be banned in England, the government has announced.
👉… https://t.co/x1OSJRsWsI",-0.6808,0.0,0.259,0.741,88
BBC,Thu Aug 30 12:00:08 +0000 2018,"Tomisin was just 12 when she created an app which helps lost children in Nigeria. 
#BBCInnovators https://t.co/aBbTNebtdD",0.3182,0.22,0.11,0.67,89
BBC,Thu Aug 30 11:00:11 +0000 2018,"Fantasy to reality: The designer who brought Tolkien's Middle-earth to the screen.
👉 https://t.co/cImtegWbN0 https://t.co/v6XRZ2qHx0",0.0,0.0,0.0,1.0,90
BBC,Thu Aug 30 10:24:25 +0000 2018,RT @BBCFOUR: The tragic story behind the N°5 bottle's distinctive shape... https://t.co/NkRjCxvxB4,-0.4588,0.0,0.214,0.786,91
BBC,Thu Aug 30 08:57:55 +0000 2018,🎤🎶 Prince Harry gave a TINY taster of his singing voice when he and the Duchess of Sussex visited the cast of… https://t.co/nkyF92qiBL,0.0,0.0,0.0,1.0,92
BBC,Thu Aug 30 08:00:13 +0000 2018,A couple from Cornwall are dedicating their lives to helping critically endangered orangutan in Indonesia. https://t.co/GP8SXK8RHY,0.296,0.136,0.0,0.864,93
BBC,Thu Aug 30 07:26:04 +0000 2018,"💊 ‘It sucked’: Eight women open up about the side effects they experienced on the birth control pill.
👉… https://t.co/6uABmLH0LM",0.0,0.0,0.0,1.0,94
BBC,Thu Aug 30 07:00:16 +0000 2018,The postcards bringing smiles to these care home residents' faces. 👵👴 https://t.co/oHGQNagmEw,0.743,0.387,0.0,0.613,95
BBC,Wed Aug 29 18:31:09 +0000 2018,"🎭 Will has a problem with A Midsummer Night's Dream, a love potion and a donkey head... 

#UpstartCrow | 8:30pm |… https://t.co/leDgwwjcpe",0.5423,0.283,0.123,0.594,96
BBC,Wed Aug 29 17:27:04 +0000 2018,"☕ Tea? Coffee? Plastic bag? 
This is the plastic bag you can drink. https://t.co/HDK9JLMQkV",0.0,0.0,0.0,1.0,97
BBC,Wed Aug 29 16:00:22 +0000 2018,This is what it's actually like to have narcolepsy. https://t.co/CzVVHSo7cp,0.3612,0.217,0.0,0.783,98
BBC,Wed Aug 29 14:35:57 +0000 2018,"Ever wondered how to master the moonwalk? 
#MichaelJacksonDay https://t.co/3flflQ3Wxa",0.0,0.0,0.0,1.0,99
CBS,Tue Sep 04 20:34:26 +0000 2018,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,0.4215,0.135,0.0,0.865,0
CBS,Sat Sep 01 15:25:34 +0000 2018,RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,0.6514,0.171,0.0,0.829,1
CBS,Fri Aug 31 21:26:49 +0000 2018,"In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundrais… https://t.co/iHKGOoWejA",0.0,0.0,0.0,1.0,2
CBS,Fri Aug 31 18:01:01 +0000 2018,"Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before i… https://t.co/5AIUH5VmMk",0.0,0.0,0.0,1.0,3
CBS,Thu Aug 30 19:45:51 +0000 2018,"RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",-0.6908,0.0,0.239,0.761,4
CBS,Thu Aug 30 15:32:47 +0000 2018,RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,0.6239,0.17,0.0,0.83,5
CBS,Mon Aug 27 23:36:57 +0000 2018,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",0.0,0.0,0.0,1.0,6
CBS,Fri Aug 24 20:30:16 +0000 2018,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,-0.4389,0.0,0.121,0.879,7
CBS,Wed Aug 22 20:55:25 +0000 2018,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",0.0,0.0,0.0,1.0,8
CBS,Wed Aug 22 20:10:12 +0000 2018,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",0.0,0.0,0.0,1.0,9
CBS,Mon Aug 20 21:59:56 +0000 2018,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,0.5423,0.171,0.0,0.829,10
CBS,Fri Aug 17 17:42:02 +0000 2018,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",0.3182,0.113,0.0,0.887,11
CBS,Thu Aug 16 18:40:09 +0000 2018,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,0.0,0.0,0.0,1.0,12
CBS,Thu Aug 16 00:09:03 +0000 2018,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,-0.5267,0.092,0.188,0.72,13
CBS,Sun Aug 12 23:30:02 +0000 2018,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,0.0,0.0,0.0,1.0,14
